,"Baboon 8B:1",,,,,"Baboon 9B:1",,,,,"Baboon 12B:1",,,,,"Baboon 11B:1",,,,,"Baboon 13B:1",,,,,"Baboon 5B:1",,,,,"Baboon 7B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Pentane, 1-chloro-","Class1","255","1.335","1666888.89","2449.457","Class1","255","1.34","1661949.25","2686.991","Class1","255","1.345","8667717.12","6737.878","Class1","255","1.34","5812539.34","6657.591","Class1","255","1.34","1847027.74","4262.732","Class1","255","1.34","2775847.35","2525.312","Class1","255","1.34","1419869.91","2281.368",
"Pyrrole","Class1","260","1.835","298452.784","180.880","Class1","260","1.84","296249.635","249.480","Class1","265","1.82","893739.845","696.037","Class1","260","1.835","734253.580","381.080","Class1","260","1.835","385068.960","348.911","Class1","260","1.83","1155712.83","674.552","Class1","260","1.845","406930.632","216.817",
"1-Heptene, 5-methyl-","Class1","265","1.175","9742033.58","6276.837","Class1","265","1.175","8946340.48","8790.465","Class1","265","1.21","8137116.29","11020.244","Class1","265","1.175","24173266.2","16013.990","Class1","265","1.175","12813445.8","13440.119","Class1","265","1.17","17797165.6","10463.677","Class1","265","1.175","13776236.9","10812.011",
"2,4-Heptadiene, (E,E)-","Class1","265","1.31","2516604.43","4856.814","Class1","265","1.31","3533311.62","7851.032","Class1","265","1.33","1954631.59","1758.163","Class1","265","1.31","8977219.99","13659.632","Class1","265","1.31","4116548.92","11589.054","Class1","265","1.315","5129454.41","7995.006","Class1","265","1.31","5102192.74","9016.165",
"Decane, 2,6,8-trimethyl-","Class1","265","1.125","163520.888","895.153","Class1","265","1.125","78121.171","354.537","Class1","265","1.145","6159823.25","13487.522","Class1","265","1.14","297339.301","1162.983","Class1","265","1.125","99313.283","450.719","Class1","265","1.125","438182.044","2319.779","Class1","270","1.12","101702.610","830.299",
"2,4-Heptadiene, (E,E)-","Class1","270","1.32","1987802.74","2520.000","Class1","270","1.315","2275758.41","3488.619","Class1","270","1.37","14496576.9","5866.573","Class1","270","1.315","5890904.09","6248.615","Class1","270","1.315","2914763.90","5704.122","Class1","270","1.33","3859049.41","3948.526","Class1","270","1.325","4903762.67","5736.661",
"1,5-Heptadien-3-yne","Class1","270","1.53","29000732.2","33900.938","Class1","270","1.525","17720463.9","26737.080","Class1","270","1.58","107725308","35511.965","Class1","270","1.525","41230482.7","39933.434","Class1","270","1.525","22048155.7","48546.855","Class1","270","1.54","63779445.2","46713.418","Class1","270","1.53","39438017.8","48774.492",
"Toluene","Class1","270","1.485","334973.682","395.823","Class1","270","1.485","376258.337","493.504","Class1","275","1.565","3253965.01","715.348","Class1","270","1.475","1175555.02","1126.429","Class1","270","1.48","489899.380","874.510","Class1","270","1.48","2212809.73","1695.586","Class1","270","1.485","202734.894","235.877",
"Heptane, 3-methyl-","Class1","275","1.14","835070.517","2280.848","Class1","275","1.14","750078.601","1344.273","Class1","270","1.195","31120378.4","13098.306","Class1","270","1.145","1011227.08","2600.419","Class1","270","1.145","220675.342","961.747","Class1","275","1.14","2704891.82","3658.115","Class1","275","1.14","2080767.94","3374.309",
"Thiophene, 2-methyl-","Class1","275","1.635","252956.889","453.000","Class1","275","1.625","84041.154","221.206","Class1","275","1.645","1191148.16","1727.123","Class1","275","1.625","263232.126","472.783","Class1","275","1.63","54284.796","342.674","Class1","275","1.65","281903.569","379.059","Class1","275","1.635","427650.186","787.709",
"2-Heptene, 5-methyl-","Class1","280","1.19","8476146.19","5136.779","Class1","280","1.19","10550600.9","7787.693","Class1","275","1.21","72853251.7","10124.999","Class1","280","1.19","27124040.4","12864.462","Class1","280","1.19","7803476.85","11861.614","Class1","275","1.2","18274997.1","5015.517","Class1","275","1.19","13375961.7","6645.331",
"1-Octen-3-one","Class1","285","1.6","340046.583","218.898","Class1","285","1.6","273966.831","191.445","Class1","280","1.605","13620678.2","4520.345","Class1","285","1.6","900792.868","429.074","Class1","285","1.605","357149.268","335.084","Class1","285","1.6","1646569.77","785.113","Class1","285","1.61","86910.197","63.961",
"Pentanenitrile","Class1","285","1.815","248948.701","272.709","Class1","285","1.82","318088.261","400.701","Class1","280","1.825","7830178.74","3717.924","Class1","285","1.815","892706.252","749.287","Class1","285","1.815","364198.295","635.600","Class1","285","1.815","1247385.08","1154.843","Class1","285","1.83","224679.993","224.520",
