,"Baboon 8B:1",,,,,"Baboon 9B:1",,,,,"Baboon 12B:1",,,,,"Baboon 11B:1",,,,,"Baboon 13B:1",,,,,"Baboon 5B:1",,,,,"Baboon 7B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"1,1,3,3,5-Pentamethylcyclohexane","Class1","640","1.475","44480996.6","38812.973","Class1","640","1.47","32139125.0","42030.719","Class1","640","1.49","40932270.4","28783.979","Class1","640","1.475","72976936.8","54821.559","Class1","640","1.47","39515394.0","49539.449","Class1","640","1.475","51292559.1","35344.906","Class1","640","1.475","55646904.6","52076.352",
"Octanal","Class1","645","1.83","9853513.66","10184.190","Class1","645","1.83","8523419.91","10043.259","Class1","650","1.82","48500473.5","9898.996","Class1","645","1.83","18356224.5","12311.620","Class1","645","1.83","5710015.24","7768.936","Class1","645","1.835","27025880.0","14248.448","Class1","645","1.835","960243.630","888.462",
"o-Xylene","Class1","650","1.3","24720.542","141.909","Class1","645","1.3","27353.298","177.298","Class1","650","1.29","93534.140","395.897","Class1","650","1.29","58025.501","310.980","Class1","650","1.295","27189.919","217.423","Class1","650","1.295","77992.896","390.936","Class1","650","1.29","62266.879","392.180",
"Cyclohexane, 1,5-diethyl-2,3-dimethyl-","Class1","655","1.475","1308778.09","10588.907","Class1","650","1.47","2504769.79","10910.333","Class1","655","1.475","4396543.90","23486.703","Class1","655","1.48","2912952.28","18826.625","Class1","650","1.47","2316756.75","11134.362","Class1","650","1.475","4609385.17","14607.350","Class1","650","1.475","5766723.72","22595.477",
"Decane, 2,2-dimethyl-","Class1","655","1.33","7071666.99","10938.278","Class1","655","1.335","4868205.51","11334.408","Class1","655","1.335","9265583.73","9100.994","Class1","655","1.37","15172965.1","12144.577","Class1","655","1.35","8214702.87","13677.149","Class1","655","1.345","7911778.32","8599.343","Class1","655","1.36","12549554.3","11491.755",
"2,3-Dimethyl-1-hexene","Class1","655","1.44","617120.578","1284.978","Class1","655","1.44","202197.048","1436.512","Class1","655","1.45","622578.017","1852.558","Class1","655","1.445","433386.450","2889.052","Class1","655","1.44","633185.341","1589.360","Class1","655","1.445","550725.046","1648.521","Class1","655","1.445","1490016.06","2942.888",
"3-Carene","Class1","655","1.705","6646940.83","13354.059","Class1","655","1.705","3687041.94","9531.562","Class1","655","1.705","62112998.8","39293.191","Class1","655","1.705","10813256.8","20350.158","Class1","655","1.7","3514965.69","11898.204","Class1","655","1.705","11084740.7","18635.594","Class1","655","1.705","5979838.28","10873.818",
"2-Hexenal, 2-ethyl-","Class1","655","1.99","9846138.50","21615.258","Class1","655","1.985","3299445.07","8969.363","Class1","655","2.035","56375109.3","26781.982","Class1","655","1.985","14220803.6","21536.215","Class1","655","1.98","4248430.14","14693.873","Class1","655","1.995","24937415.4","33341.184","Class1","655","1.985","622072.828","1565.776",
"Analyte 746","Class1","655","1.06","24077.853","194.808","Class1","655","1.055","25714.757","243.582","Class1","660","1.075","84917.940","457.371","Class1","655","1.06","67690.937","464.855","Class1","655","1.055","30847.145","331.524","Class1","655","1.065","56106.865","381.259","Class1","655","1.055","39831.651","355.442",
"Octane, 2,2,6-trimethyl-","Class1","655","1.28","15047.604","105.959","Class1","660","1.28","38089.235","156.431","Class1","660","1.27","132171.412","263.483","Class1","650","1.22","345.002","3.211","Class1","655","1.285","16967.111","138.305","Class1","655","1.28","96429.007","221.552","Class1","660","1.275","44860.528","307.365",
"Heptane, 3-(chloromethyl)-","Class1","660","1.64","427567.773","2171.359","Class1","660","1.64","670375.932","3487.974","Class1","665","1.64","4365179.58","12660.005","Class1","660","1.64","2154429.82","7357.154","Class1","660","1.64","632580.103","3655.996","Class1","660","1.64","2065937.17","5714.540","Class1","660","1.655","389107.387","1874.561",
"Benzene, 1,3-dichloro-","Class1","660","2.235","1501271.48","9102.682","Class1","660","2.24","780176.604","4712.487","Class1","665","2.25","30586901.4","95186.656","Class1","660","2.235","2581748.86","11993.515","Class1","660","2.24","779267.821","5106.280","Class1","660","2.225","11610977.3","67834.188","Class1","660","2.235","3835853.93","20317.059",
"Benzene, 1-methyl-4-(1-methylethenyl)-","Class1","660","1.975","359685.429","1299.780","Class1","660","1.975","786855.268","3389.677","Class1","665","1.97","1642564.67","8234.187","Class1","660","1.975","1924790.21","7086.501","Class1","660","1.975","713628.838","3612.665","Class1","665","1.96","671333.418","2336.104","Class1","660","1.975","2751235.85","10579.204",
"4,6-Octadiyn-3-one, 2-methyl-","Class1","670","1.27","41602.459","133.819","Class1","670","1.275","77071.982","175.127","Class1","670","1.275","299169.546","463.457","Class1","670","1.28","121783.165","329.288","Class1","670","1.28","70991.979","213.218","Class1","670","1.28","162252.593","435.313","Class1","670","1.275","188721.024","434.723",
"3-Heptene, 4-propyl-","Class1","670","1.47","1562222.13","2982.237","Class1","670","1.47","1606325.43","3238.912","Class1","670","1.48","9630830.46","714.479","Class1","670","1.47","4395771.72","5219.542","Class1","670","1.46","1822792.62","3616.683","Class1","675","1.565","4134437.58","4787.017","Class1","670","1.45","2202635.25","4927.404",
"Isoflurane","Class1","675","0.83","28863292.9","127156.945","Class1","675","0.83","28474665.0","135509.188","Class1","670","0.82","8618207.09","32310.268","Class1","670","0.83","28054803.7","131073.547","Class1","670","0.83","19014560.4","148140.734","Class1","665","0.83","36623271.5","114110.758","Class1","670","0.83","36503818.0","124055.734",
"Oxalic acid, cyclohexyl isobutyl ester","Class1","675","1.52","7453893.68","47080.953","Class1","675","1.52","7327330.86","46919.539","Class1","675","1.53","8310406.06","38701.711","Class1","675","1.53","19197291.3","88771.531","Class1","675","1.52","6976275.06","49515.273","Class1","675","1.525","10812561.4","52391.020","Class1","675","1.525","12717641.8","67393.813",
"Bicyclo[4.2.0]oct-1-ene, 7-endo-ethenyl-","Class1","675","1.895","131081.003","400.022","Class1","675","1.895","225256.145","629.481","Class1","675","1.885","472983.690","696.044","Class1","675","1.895","471348.427","1247.439","Class1","675","1.895","159848.957","695.217","Class1","675","1.89","740268.359","631.264","Class1","675","1.89","79234.462","187.949",
"Benzene, 1,2,3-trimethyl-","Class1","680","2.105","7332013.24","18120.037","Class1","680","2.11","5228083.97","14166.108","Class1","680","2.115","60306106.1","60756.852","Class1","680","2.11","13243906.8","28251.768","Class1","680","2.11","5204036.13","18936.492","Class1","680","2.105","24231351.5","48137.570","Class1","680","2.105","17464216.3","39442.629",
"Cyclohexane, 1-ethyl-1,3-dimethyl-, trans-","Class1","680","1.505","3854802.76","16280.486","Class1","685","1.45","3353952.14","4102.519","Class1","680","1.525","17536715.0","22209.348","Class1","680","1.515","7093503.45","20514.908","Class1","680","1.51","2673766.19","14409.286","Class1","680","1.505","5494663.47","15868.979","Class1","680","1.51","6185437.56","22884.027",
"Octane, 2,6-dimethyl-","Class1","680","1.375","4905147.15","4921.120","Class1","685","1.36","3810231.60","3057.117","Class1","680","1.405","4819256.37","2309.834","Class1","680","1.385","3152010.90","3821.731","Class1","685","1.365","3349127.86","4345.701","Class1","680","1.375","7636806.13","3316.515","Class1","680","1.375","8091146.41","5052.318",
"o-Cymene","Class1","685","1.94","11428110.1","47273.859","Class1","685","1.935","13985409.4","46552.387","Class1","685","1.97","75772768.1","109119.117","Class1","680","1.945","10740497.9","39111.305","Class1","685","1.94","14241747.4","61049.930","Class1","685","1.94","33556493.8","86537.453","Class1","685","1.94","98435209.4","157567.453",
"Isoflurane","Class1","685","0.835","9394144.52","126475.063","Class1","685","0.835","9419162.55","135250.844","Class1","685","0.83","2089608.91","30380.406","Class1","685","0.84","27785383.1","131293.969","Class1","685","0.835","9440276.86","147612.656","Class1","685","0.835","12074969.9","114427.984","Class1","685","0.835","24157876.4","125255.602",
"Cyclooctane, 1,2-diethyl-","Class1","685","1.575","6123097.74","28219.275","Class1","685","1.565","5281681.72","27319.367","Class1","690","1.6","12124936.8","27163.980","Class1","685","1.585","14819057.6","53814.184","Class1","685","1.57","5153646.45","27975.031","Class1","685","1.58","9590879.99","32510.398","Class1","685","1.58","11249802.5","41332.621",
"Benzene, 1-ethenyl-2-methyl-","Class1","685","2.205","217197.895","647.536","Class1","685","2.205","140460.545","627.140","Class1","690","2.215","1213734.32","4189.976","Class1","685","2.22","526559.558","1453.029","Class1","685","2.215","191448.830","733.311","Class1","685","2.21","633904.052","1619.032","Class1","685","2.205","679305.708","1768.535",
"Cyclohexane, 1,2-diethyl-3-methyl-","Class1","690","1.515","4792724.56","24460.445","Class1","690","1.52","3294832.81","21151.658","Class1","695","1.545","19847506.5","44391.457","Class1","690","1.515","9015870.28","41295.934","Class1","690","1.52","2820667.60","20393.371","Class1","690","1.52","5717668.34","27346.775","Class1","690","1.515","7500146.02","42195.059",
"D-Limonene","Class1","690","1.77","28378925.3","45420.824","Class1","690","1.775","23027386.4","41886.430","Class1","695","1.78","94889334.0","40799.559","Class1","690","1.765","44152346.7","55388.219","Class1","690","1.77","23962740.5","66577.273","Class1","690","1.77","47858597.1","41424.098","Class1","690","1.77","29528376.4","35264.422",
"Decane, 2-methyl-","Class1","690","1.395","13375091.1","13502.744","Class1","695","1.385","7145995.17","17344.408","Class1","695","1.405","26511564.8","10905.973","Class1","690","1.375","23805592.2","19741.828","Class1","690","1.395","7042539.08","14953.044","Class1","695","1.39","6660253.74","12850.899","Class1","690","1.38","5961665.88","16081.040",
"1-Hexanol, 2-ethyl-","Class1","695","1.86","4181172.41","5777.240","Class1","690","1.83","3788293.88","1592.953","Class1","695","1.85","7039749.77","1945.821","Class1","690","1.825","9735056.64","2732.509","Class1","695","1.835","3372405.96","7689.849","Class1","695","1.97","6894891.58","6528.393","Class1","695","1.82","2751865.28","3573.330",
"Cyclohexane, 1,2-diethyl-3-methyl-","Class1","700","1.565","1114068.04","8846.968","Class1","700","1.575","860572.765","7118.979","Class1","700","1.565","5279818.17","24080.664","Class1","695","1.545","8783345.18","46740.395","Class1","700","1.57","769315.539","7348.261","Class1","700","1.57","1485548.62","9153.450","Class1","700","1.57","1723772.91","12923.140",
"Benzene, 1-ethenyl-2-methyl-","Class1","705","2.33","3188204.86","9701.444","Class1","705","2.33","2539793.84","9409.276","Class1","710","2.295","55631680.7","57204.652","Class1","705","2.34","8015680.77","20868.621","Class1","705","2.325","3096947.63","15173.672","Class1","705","2.33","10324229.6","28021.639","Class1","705","2.33","6869916.19","21967.037",
"Cyclohexane, 1-ethyl-2-propyl-","Class1","710","1.53","2661690.76","7062.625","Class1","705","1.58","2642633.09","7119.043","Class1","710","1.585","8209381.69","8417.088","Class1","710","1.53","5877269.25","11799.330","Class1","705","1.58","2955533.73","7358.195","Class1","710","1.535","14309429.8","8086.812","Class1","710","1.535","3375147.32","11718.590",
"Z-10-Pentadecen-1-ol","Class1","710","1.745","85623.920","390.859","Class1","710","1.74","80440.709","406.178","Class1","715","1.74","1446652.06","1564.096","Class1","710","1.745","305855.541","946.867","Class1","710","1.74","90743.381","451.692","Class1","710","1.75","743689.906","1704.855","Class1","710","1.745","19522.900","12.997",
"2-Butene, 1,4-dichloro-, (E)-","Class1","710","2.46","3948404.68","25083.762","Class1","710","2.46","6887583.64","44056.492","Class1","715","2.405","20155159.7","71166.469","Class1","710","2.46","15306617.7","73675.789","Class1","710","2.465","6260341.95","43944.438","Class1","710","2.46","22404377.9","100030.883","Class1","710","2.49","515965.929","2051.166",
"Indene","Class1","720","2.49","89982.406","305.258","Class1","720","2.5","71580.639","312.692","Class1","725","2.415","11029861.6","41416.109","Class1","720","2.49","155526.990","554.577","Class1","720","2.495","64055.794","302.439","Class1","720","2.485","363661.242","1045.715","Class1","720","2.5","101005.702","310.265",
"Cyclohexane, 1,2-diethyl-3-methyl-","Class1","730","1.54","6348707.32","19839.422","Class1","730","1.54","2482912.22","17249.055","Class1","735","1.54","5537366.21","23388.941","Class1","730","1.54","7282633.40","36869.027","Class1","725","1.525","2197207.92","14281.770","Class1","730","1.54","10111073.0","25854.000","Class1","730","1.54","12025141.5","32812.125",
"Octane, 2,3,6,7-tetramethyl-","Class1","730","1.365","7161167.63","22495.098","Class1","730","1.36","5576265.25","24987.975","Class1","735","1.345","16549307.0","22923.424","Class1","730","1.35","11059319.5","36428.793","Class1","730","1.405","7094133.72","28796.473","Class1","730","1.35","9855861.50","23180.773","Class1","730","1.41","8808891.35","29450.379",
"Benzene, 1-methyl-2-propyl-","Class1","735","1.945","4021105.03","7223.559","Class1","735","1.955","4380397.98","4285.649","Class1","740","1.95","66808105.8","40223.859","Class1","735","1.945","7928479.27","9389.279","Class1","735","1.95","2974895.10","5960.444","Class1","735","1.945","12194593.9","18286.000","Class1","735","1.945","8363929.88","13649.113",
"Naphthalene, decahydro-, trans-","Class1","740","1.795","1137420.01","4799.234","Class1","735","1.795","1063998.60","4469.424","Class1","740","1.805","7310425.92","30107.877","Class1","735","1.79","1247844.39","8407.337","Class1","735","1.79","964630.034","4593.185","Class1","735","1.79","766122.974","5265.700","Class1","735","1.79","840551.316","6784.712",
"Nitrous oxide","Class1","740","0.77","360246.364","207.888","Class1","740","0.77","326339.775","190.812","Class1","740","0.77","516319.103","222.885","Class1","740","0.77","1062139.97","353.623","Class1","740","0.77","399230.262","315.426","Class1","740","0.77","548613.682","368.810","Class1","740","0.77","517097.849","323.015",
"Benzene, butyl-","Class1","745","1.93","1446062.88","4022.905","Class1","745","1.925","1233473.76","2765.102","Class1","750","1.96","13388552.5","13139.546","Class1","745","1.92","3375289.05","7412.251","Class1","745","1.925","1281983.39","4020.786","Class1","745","1.925","2976607.48","7906.927","Class1","745","1.93","2726678.99","7179.237",
"Thiophene, 2-butyl-","Class1","745","2.05","182524.937","528.149","Class1","745","2.055","187689.443","457.418","Class1","750","2.055","1304840.00","1902.901","Class1","745","2.045","1201092.80","1549.766","Class1","745","2.05","221372.775","600.653","Class1","745","2.045","1256818.01","1527.016","Class1","745","2.06","732636.095","886.512",
"Decane, 3,4-dimethyl-","Class1","750","1.385","98310.146","667.271","Class1","750","1.32","132751.754","1164.718","Class1","740","1.56","1489.395","44.207","Class1","750","1.315","465275.459","3207.741","Class1","755","1.335","2751.414","36.498","Class1","740","1.545","9424.602","252.925","Class1","745","1.475","166164.004","369.331",
"Decane, 2,6,8-trimethyl-","Class1","765","1.38","3856478.09","4125.844","Class1","760","1.37","4849574.73","2224.633","Class1","755","1.415","7845116.95","3219.644","Class1","755","1.425","6509051.12","5349.948","Class1","755","1.425","2993239.89","7585.678","Class1","755","1.425","9064006.46","4221.089","Class1","760","1.4","9673529.18","5136.789",
"Benzene","Class1","760","0.915","72167.102","273.400","Class1","760","0.915","175639.868","708.778","Class1","760","0.91","666172.160","1754.148","Class1","760","0.91","172879.930","559.629","Class1","760","0.915","90339.500","625.283","Class1","760","0.915","78942.623","300.084","Class1","760","0.915","97533.817","391.658",
"Thiophene, 3,4-diethyl-","Class1","760","2.09","1081411.33","5141.758","Class1","760","2.09","193239.646","718.093","Class1","760","2.13","286752.653","713.730","Class1","760","2.025","616588.265","2043.109","Class1","760","2.085","591805.578","2511.012","Class1","760","2.09","779594.697","2701.262","Class1","760","2.1","3446474.54","16021.877",
"47994","Class1","760","0.875","80695.407","147.583","Class1","765","0.875","95091.855","288.938","Class1","755","0.94","404381.479","221.069","Class1","760","0.87","197692.309","465.077","Class1","765","0.875","214270.797","664.457","Class1","760","0.875","171889.748","202.150","Class1","760","0.875","133648.855","203.321",
"Benzene, 1-methyl-2-propyl-","Class1","760","2.02","1490883.52","2969.739","Class1","760","2.015","1025312.84","2700.313","Class1","765","2.02","36382204.4","47980.871","Class1","760","1.96","3052696.12","5577.994","Class1","760","2.015","1152280.14","4051.129","Class1","760","2.015","5438386.67","7920.051","Class1","760","2.03","3345365.66","5156.270",
"Cyclopentane, 2-ethylidene-1,1-dimethyl-","Class1","760","2.165","1546866.45","4159.590","Class1","760","2.17","1011830.25","2532.796","Class1","765","2.175","41497875.3","47973.707","Class1","760","2.095","4143609.12","7006.772","Class1","760","2.165","1373898.41","4229.913","Class1","760","2.165","9670752.74","18441.320","Class1","760","2.195","329542.491","582.562",
"Acetophenone","Class1","760","2.785","2110414.62","1758.941","Class1","760","2.79","1414626.07","1335.849","Class1","765","2.76","127740037","58108.621","Class1","760","2.675","8386539.07","6173.564","Class1","760","2.785","2056890.54","2644.761","Class1","760","2.77","29012798.4","19640.570","Class1","760","2.84","3283623.66","1301.592",
"Benzaldehyde, 4-methyl-","Class1","760","2.685","1750055.18","2787.585","Class1","760","2.685","2078878.62","3994.693","Class1","765","2.67","10366503.4","11413.447","Class1","760","2.585","8563916.54","12827.738","Class1","760","2.68","2805818.36","7232.543","Class1","760","2.685","11495048.6","14420.486","Class1","765","2.695","349786.130","338.353",
"3-Butylthiophene","Class1","770","2.05","2217566.40","7168.253","Class1","770","2.06","317778.333","1100.534","Class1","775","2.045","129310.577","316.905","Class1","770","1.97","767240.883","1892.307","Class1","770","2.055","930152.445","3639.120","Class1","770","2.05","850457.154","2152.458","Class1","770","2.055","5495503.01","15046.201",
"Toluene","Class1","775","0.995","194646.077","761.628","Class1","775","0.995","124137.902","430.208","Class1","775","0.995","2423570.14","8090.761","Class1","775","0.98","290244.372","1302.864","Class1","775","0.995","123284.343","816.085","Class1","775","0.995","1028603.68","3458.579","Class1","775","0.995","395853.834","1625.519",
"3-Octene, (Z)-","Class1","780","0.92","18329.878","152.847","Class1","780","0.92","13994.209","164.760","Class1","780","0.92","72380.676","211.222","Class1","780","0.915","60368.061","353.174","Class1","780","0.92","23307.194","227.478","Class1","780","0.925","37787.082","214.411","Class1","780","0.925","86992.311","547.926",
"Benzene, 2-ethyl-1,4-dimethyl-","Class1","780","2.01","2794512.00","5699.820","Class1","780","2.005","1469644.42","4292.975","Class1","785","2.015","73200209.7","208731.813","Class1","780","1.915","4582173.78","9578.560","Class1","780","2.005","1457483.13","5442.300","Class1","780","2.01","10540116.2","20121.154","Class1","785","1.995","6564584.58","15111.938",
"Benzaldehyde, 2-methyl-","Class1","790","2.605","2717865.81","3795.569","Class1","785","2.64","2601778.41","3144.914","Class1","790","2.6","5744460.42","7137.646","Class1","785","2.48","12425807.6","10196.796","Class1","785","2.64","3743054.84","6098.625","Class1","790","2.605","17008123.5","20270.035","Class1","790","2.755","177728.950","186.880",
"4-Nonene","Class1","790","0.94","78517.845","260.554","Class1","790","0.94","54263.650","191.607","Class1","790","0.95","175232.663","269.253","Class1","790","0.94","437210.489","899.232","Class1","790","0.94","97104.474","457.839","Class1","790","0.945","344357.657","494.101","Class1","790","0.95","182417.725","490.397",
"2-Furoic acid, 2,3,4,6-tetrachlorophenyl ester","Class1","790","1.805","52122.560","172.512","Class1","790","1.815","108219.292","217.389","Class1","795","1.785","200453.048","420.710","Class1","790","1.72","90401.038","236.119","Class1","790","1.815","38396.167","185.411","Class1","790","1.81","433699.454","895.504","Class1","790","1.815","34222.338","107.557",
"4-Nonene","Class1","795","0.96","797955.856","1384.318","Class1","795","0.96","1109974.63","1376.631","Class1","795","0.96","1267807.24","1090.665","Class1","795","0.95","2290500.45","3158.249","Class1","795","0.96","1093700.98","2878.892","Class1","795","0.96","1999481.97","2476.194","Class1","795","0.96","1968539.92","3119.730",
"Benzene, 1-methyl-4-(1-methylethenyl)-","Class1","800","2.1","2576624.14","9005.436","Class1","790","2.1","795633.203","5202.292","Class1","795","2.07","5574194.53","15071.746","Class1","790","1.985","2607436.11","15834.054","Class1","800","2.095","1915512.58","13668.873","Class1","800","2.095","4932197.38","17335.854","Class1","790","2.095","2195367.99","13487.084",
"Benzene, 1-ethyl-2,4-dimethyl-","Class1","795","2.015","2311823.70","9395.687","Class1","795","2.02","1244502.43","5320.897","Class1","800","1.995","56347537.6","98348.820","Class1","795","1.915","3822322.21","14876.544","Class1","795","2.015","1287428.57","6486.656","Class1","795","2.015","8779977.02","30955.324","Class1","795","2.015","5473145.06","24406.816",
"Cyclohexene, 1-pentyl-","Class1","800","1.66","91979.921","385.924","Class1","800","1.66","51285.742","330.446","Class1","805","1.655","713014.977","2536.406","Class1","800","1.6","141964.090","720.045","Class1","800","1.665","42753.105","336.502","Class1","800","1.665","178785.310","597.049","Class1","800","1.68","192391.633","640.847",
"3-Nonene, (E)-","Class1","800","0.97","149713.141","458.282","Class1","800","0.97","141376.798","509.242","Class1","800","0.97","234884.809","365.908","Class1","800","0.965","408517.491","984.341","Class1","805","0.985","73934.827","309.905","Class1","800","0.975","425124.951","896.988","Class1","805","0.985","215588.270","587.708",
"Benzene, 1,3-dimethyl-","Class1","805","1.13","511189.168","857.597","Class1","805","1.13","849239.534","1016.268","Class1","805","1.125","4940574.52","3786.972","Class1","805","1.11","2128040.59","1759.953","Class1","805","1.135","1027161.62","1824.058","Class1","805","1.135","3776052.10","2839.005","Class1","805","1.135","3100800.86","3203.462",
"2-tert-Butyltoluene","Class1","805","1.91","583214.810","3485.515","Class1","805","1.91","439549.784","2963.053","Class1","810","1.885","1223961.15","4141.463","Class1","805","1.82","1298233.80","6907.055","Class1","805","1.91","493108.118","3730.606","Class1","805","1.91","1254571.88","6494.103","Class1","805","1.91","1209487.41","7055.889",
"Analyte 1036","Class1","810","1.51","1380102.10","12892.225","Class1","805","1.51","2469633.19","17574.396","Class1","810","1.52","9349165.95","37204.504","Class1","805","1.46","7235029.20","40140.688","Class1","805","1.51","3335614.79","19914.709","Class1","805","1.51","12228483.2","27486.795","Class1","805","1.51","3948346.85","32233.123",
"Cyclohexane, 1,5-diisopropyl-2,3-dimethyl-","Class1","815","1.535","3417398.08","26592.998","Class1","815","1.525","2674839.93","21735.975","Class1","820","1.54","15754958.5","30572.342","Class1","815","1.485","7476602.51","46018.719","Class1","815","1.525","2895570.00","25495.342","Class1","815","1.535","5704080.03","32172.094","Class1","815","1.545","6888812.29","42219.324",
"1-Octene, 6-methyl-","Class1","820","1.765","9893.781","37.643","Class1","820","1.77","37366.608","178.467","Class1","825","1.73","105349.787","276.500","Class1","820","1.695","119876.660","459.917","Class1","820","1.775","20582.432","127.177","Class1","820","1.77","237329.122","693.150","Class1","820","1.785","37457.404","142.950",
"Analyte 1065","Class1","825","1.055","30896.879","147.398","Class1","825","1.055","34161.044","292.083","Class1","825","1.05","67835.170","379.250","Class1","825","1.04","87858.153","616.513","Class1","825","1.055","36141.399","396.754","Class1","825","1.055","62396.947","437.985","Class1","825","1.055","52278.408","412.351",
"4-Nonene, 2,3,3-trimethyl-, (Z)-","Class1","825","1.5","6547313.55","20925.123","Class1","825","1.495","2827391.21","18173.738","Class1","830","1.48","8528449.06","34876.160","Class1","825","1.45","10802932.8","38779.398","Class1","825","1.495","1837323.18","15112.846","Class1","825","1.5","4706801.49","25298.326","Class1","825","1.5","6042222.03","38325.961",
"Nonanal","Class1","825","1.88","38052576.2","26366.975","Class1","825","1.865","13797541.5","16452.602","Class1","830","1.83","41229853.7","15785.027","Class1","825","1.785","33879432.8","21693.744","Class1","825","1.86","6870050.79","10465.297","Class1","825","1.88","81219331.0","16555.395","Class1","825","1.87","2876055.30","2266.826",
"Benzofuran, 2-methyl-","Class1","825","2.47","109772.872","371.326","Class1","825","2.47","95152.808","338.610","Class1","830","2.38","608303.954","2044.135","Class1","825","2.335","292284.188","914.572","Class1","825","2.465","111508.797","431.278","Class1","825","2.46","665617.620","1558.645","Class1","825","2.47","183674.251","644.932",
"5-Undecene, 7-methyl-, (E)-","Class1","830","1.51","2603321.91","9037.197","Class1","830","1.505","2980544.51","6963.345","Class1","830","1.51","13139710.9","8814.611","Class1","830","1.46","5206943.07","13383.899","Class1","830","1.505","2674929.24","7351.439","Class1","830","1.51","6862940.11","9921.386","Class1","830","1.515","13331622.8","16960.469",
"tridecane","Class1","830","1.395","3924516.39","17087.721","Class1","830","1.385","4161016.50","15830.186","Class1","830","1.39","13462377.7","19012.484","Class1","830","1.35","17254649.7","27433.510","Class1","830","1.385","4573890.34","16118.410","Class1","835","1.395","2418819.99","5692.674","Class1","830","1.4","8526215.72","23123.875",
"Benzene, 2-ethyl-1,4-dimethyl-","Class1","830","2.125","492848.053","1778.573","Class1","830","2.125","273623.149","1171.783","Class1","835","2.06","18761723.9","52957.629","Class1","830","2.025","932843.708","3105.640","Class1","830","2.125","254996.876","1414.901","Class1","830","2.125","2286948.11","6866.088","Class1","830","2.125","1368843.81","4765.309",
"Benzofuran, 2-methyl-","Class1","835","2.465","491100.924","1594.072","Class1","835","2.48","331125.650","1036.279","Class1","835","2.385","6491076.66","20011.887","Class1","835","2.35","979853.821","2729.771","Class1","835","2.49","352900.300","1249.227","Class1","835","2.46","3005198.82","8463.451","Class1","835","2.485","550036.694","1668.527",
"cis-Decalin, 2-syn-methyl-","Class1","835","1.7","341830.934","2201.109","Class1","835","1.7","226893.992","1619.187","Class1","840","1.67","4744652.99","26799.373","Class1","835","1.64","842407.161","4588.847","Class1","835","1.7","183872.134","1988.150","Class1","835","1.705","841401.113","4603.755","Class1","835","1.705","772007.459","4351.812",
"Octane, 2,2,6-trimethyl-","Class1","845","1.03","50758.217","207.666","Class1","845","1.03","30673.877","157.843","Class1","845","1.025","47357.731","153.358","Class1","845","1.02","103953.406","390.648","Class1","845","1.03","47825.247","297.580","Class1","845","1.035","127161.820","471.280","Class1","845","1.03","104825.442","503.053",
"Adamantane, 1,3-dimethyl-","Class1","845","1.75","383700.359","1898.315","Class1","845","1.75","307067.114","1332.440","Class1","845","1.73","2589349.68","12271.402","Class1","845","1.695","934109.888","3815.942","Class1","845","1.75","314363.144","1461.745","Class1","845","1.75","679136.653","3171.353","Class1","845","1.755","816416.399","4049.642",
"Benzene, 1,2,3,4-tetramethyl-","Class1","845","2.04","852050.594","1851.388","Class1","845","2.045","455352.679","1473.434","Class1","850","1.985","61250369.5","79101.797","Class1","845","1.96","1611010.09","3801.857","Class1","845","2.045","458517.104","1968.149","Class1","845","2.04","3875397.68","8364.001","Class1","845","2.045","2646485.98","6106.591",
"Cyclohexane, 2-propyl-1,1,3-trimethyl-","Class1","850","1.535","4356898.26","14923.711","Class1","850","1.53","4058228.52","10250.534","Class1","850","1.535","4736475.54","25947.180","Class1","845","1.505","11906070.8","34145.801","Class1","845","1.545","3966171.24","18202.059","Class1","845","1.55","8763335.50","24937.301","Class1","850","1.54","10308885.1","28064.148",
"Benzene, 1,2,3,4-tetramethyl-","Class1","855","2.04","1276063.95","4940.706","Class1","855","2.05","646488.429","2893.013","Class1","855","2.005","41191157.1","92235.586","Class1","855","1.97","2514786.90","8929.424","Class1","855","2.045","596396.455","3268.305","Class1","855","2.045","6142995.28","21878.107","Class1","855","2.045","4665067.20","19541.383",
"4-Undecene, 3-methyl-, (Z)-","Class1","855","1.55","534831.174","4029.409","Class1","855","1.55","468416.166","3648.442","Class1","855","1.555","5638845.79","2407.840","Class1","860","1.555","791599.487","4336.177","Class1","855","1.55","467419.286","4166.416","Class1","855","1.545","3142514.51","5640.948","Class1","855","1.555","2886602.63","7311.613",
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane","Class1","860","1.43","1260445.68","15386.873","Class1","860","1.425","1017265.51","12403.303","Class1","860","1.42","1138257.45","11571.788","Class1","860","1.4","2836360.46","27142.441","Class1","860","1.42","717971.303","9924.175","Class1","860","1.43","1655420.56","17602.941","Class1","860","1.435","2837419.75","26272.311",
