,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"Pentane, 1-chloro-","Class1","255","1.335","974465.811","1400.269","Class1","255","1.345","6156114.58","4383.856","Class1","255","1.34","1523844.29","2148.628","Class1","255","1.34","3728470.81","3656.237","Class1","255","1.34","2906541.73","3577.966","Class1","255","1.34","2599522.38","3497.246",
"Pyridine","Class1","255","1.74","4413345.87","3340.182","Class1","255","1.725","294721189","46116.660","Class1","255","1.745","10226225.7","6987.752","Class1","260","1.74","16282955.6","5730.223","Class1","255","1.74","13148490.5","7728.939","Class1","255","1.75","7364981.29","6677.005",
"3-Heptene, 2-methyl-","Class1","260","1.165","674972.866","1556.364","Class1","265","1.21","1484196.23","2218.573","Class1","260","1.17","1200807.50","2715.821","Class1","260","1.17","1203831.99","1906.833","Class1","260","1.165","2828151.23","2386.366","Class1","260","1.165","1550687.36","3103.545",
"1,3-Pentadiene, 2,3-dimethyl-","Class1","265","1.305","3440777.21","6615.692","Class1","265","1.33","1507343.64","1239.643","Class1","265","1.31","7084826.98","13775.927","Class1","265","1.315","5525120.23","8803.084","Class1","265","1.315","7316689.28","14394.451","Class1","265","1.31","5216015.94","9811.541",
"2,4-Heptadiene, (E,E)-","Class1","270","1.31","2058191.20","2757.105","Class1","270","1.37","8594822.85","4361.613","Class1","270","1.315","4288300.15","5785.174","Class1","270","1.325","4673659.56","4941.544","Class1","270","1.325","5617422.20","7402.162","Class1","270","1.32","3818378.89","4909.811",
"Toluene","Class1","270","1.495","262456.171","276.436","Class1","265","1.505","303541.938","627.816","Class1","270","1.49","474922.473","510.747","Class1","275","1.49","162961.427","166.237","Class1","275","1.525","86337.048","115.748","Class1","270","1.48","215086.051","544.362",
"1,3,5-Cycloheptatriene","Class1","270","1.52","9420955.50","9071.538","Class1","275","1.53","68214450.8","15382.114","Class1","270","1.525","17499876.9","18896.490","Class1","270","1.535","41044372.5","24194.387","Class1","270","1.535","39189930.3","27927.881","Class1","270","1.525","17992804.6","21481.799",
"Pentanenitrile","Class1","285","1.82","218203.679","254.952","Class1","285","1.81","6436368.86","3240.702","Class1","285","1.82","378437.560","425.434","Class1","285","1.815","870908.845","777.144","Class1","285","1.815","940383.350","984.600","Class1","285","1.82","1057806.32","1039.797",
"Octane, 3,6-dimethyl-","Class1","285","1.115","2029301.04","2755.328","Class1","290","1.15","10630048.3","8680.436","Class1","285","1.12","2272196.16","2398.678","Class1","285","1.12","10526516.7","8004.661","Class1","285","1.12","7472894.13","8680.036","Class1","285","1.12","6447732.32","6105.668",
"4-Methyl-1,4-heptadiene","Class1","290","1.245","635558.436","669.480","Class1","290","1.285","3549989.10","2320.745","Class1","290","1.26","846382.421","937.271","Class1","290","1.28","896842.078","1434.751","Class1","290","1.28","700871.428","1349.189","Class1","290","1.28","545662.989","999.339",
"3-Hexanone","Class1","295","1.56","320850.098","1413.603","Class1","295","1.555","1769434.89","1492.901","Class1","295","1.565","648894.164","2002.318","Class1","295","1.56","481904.715","1840.512","Class1","295","1.56","486105.570","2230.379","Class1","295","1.56","632665.189","2340.039",
"2-Hexanone","Class1","300","1.575","3571730.44","5597.803","Class1","300","1.58","28555902.4","27509.748","Class1","300","1.58","5317808.45","8117.087","Class1","300","1.575","10972443.2","17202.248","Class1","300","1.58","9607320.98","14751.087","Class1","300","1.58","12207810.0","16136.869",
"49712","Class1","305","1.97","219438.596","277.730","Class1","300","1.995","2929396.26","4317.081","Class1","305","1.98","201089.109","250.082","Class1","300","1.985","973541.662","1212.527","Class1","300","1.995","506225.546","568.979","Class1","305","1.975","272867.985","325.360",
"1,3,5-Trioxepane","Class1","305","1.885","5440406.88","13971.870","Class1","300","1.91","142049733","70430.813","Class1","305","1.885","10688158.5","23223.041","Class1","305","1.895","181211220","125734.102","Class1","305","1.885","100958695","139053.719","Class1","305","1.885","4361550.43","8996.057",
"Octane","Class1","305","1.18","2788043.17","6732.877","Class1","310","1.195","26821806.6","23539.518","Class1","305","1.18","4574355.83","10979.747","Class1","305","1.18","11156859.9","18523.063","Class1","305","1.18","9255652.93","20683.102","Class1","305","1.18","5009371.41","16437.318",
"4-Octene, (E)-","Class1","305","1.25","12691607.4","12881.540","Class1","305","1.265","12684507.3","9386.707","Class1","305","1.245","22780551.4","27921.311","Class1","310","1.255","17023985.3","13789.760","Class1","305","1.255","29535758.0","23823.537","Class1","305","1.255","26727142.7","22964.471",
"2,3-Nonadiene","Class1","305","1.32","9531399.14","10845.028","Class1","310","1.33","11911547.1","3469.799","Class1","305","1.32","14815932.1","16927.939","Class1","305","1.325","23279979.2","27253.738","Class1","305","1.325","21679519.6","29636.928","Class1","305","1.325","14111971.0","18046.170",
"Toluene","Class1","310","1.455","647876.701","460.378","Class1","310","1.46","12766501.8","8482.115","Class1","305","1.46","1181816.81","1220.425","Class1","315","1.44","3481520.99","3203.818","Class1","310","1.455","3775979.49","3813.357","Class1","310","1.455","1858206.09","1622.735",
"Hexanal","Class1","310","1.59","2523626.80","4516.991","Class1","310","1.615","15788944.4","13538.755","Class1","310","1.595","2532752.86","3801.939","Class1","310","1.595","11307340.2","13392.737","Class1","310","1.595","8893143.11","13668.718","Class1","315","1.585","1533402.84","2703.520",
"Furan, 2-ethyl-5-methyl-","Class1","315","1.52","4645269.90","5952.763","Class1","315","1.52","6282826.73","7219.010","Class1","315","1.52","8963248.12","10501.000","Class1","315","1.52","7372420.94","10205.884","Class1","315","1.52","10498979.0","15518.406","Class1","315","1.52","11002164.6","15993.536",
"2-Heptene, 3-methyl-","Class1","320","1.265","3777159.80","10932.724","Class1","320","1.275","5703290.83","10139.648","Class1","320","1.265","9864223.78","27078.658","Class1","320","1.27","9479284.17","17480.734","Class1","320","1.27","12799782.5","22429.611","Class1","320","1.27","11004235.3","23540.031",
"Tetrachloroethylene","Class1","320","1.55","2141750.25","12907.272","Class1","325","1.545","29291881.8","92463.195","Class1","320","1.55","1894847.61","11494.890","Class1","320","1.555","6562495.99","37502.453","Class1","320","1.555","6682504.54","42848.469","Class1","320","1.555","3430034.50","21244.977",
