,"Baboon 6B:1",,,,,"Baboon 3B:1",,,,,"Baboon 10B:1",,,,,"Baboon 2B:1",,,,,"Baboon 4B:1",,,,,"Baboon 1B:1",,,,,
Peak,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,Class,1st Dimension Time (s),2nd Dimension Time (s),Area,S/N,
"o-Xylene","Class1","670","1.28","89491.524","190.398","Class1","675","1.275","65690.385","269.700","Class1","665","1.275","63114.258","434.659","Class1","665","1.275","32342.799","209.964","Class1","670","1.275","157811.272","549.262","Class1","670","1.28","52749.651","183.907",
"Isoflurane","Class1","670","0.83","28298982.5","125933.016","Class1","675","0.82","7019860.08","36879.160","Class1","675","0.83","39702749.5","139201.703","Class1","670","0.83","22988626.8","121273.781","Class1","670","0.835","61562515.7","129516.867","Class1","670","0.835","50447963.1","130014.578",
"1,1,3,3,5-Pentamethylcyclohexane","Class1","675","1.52","7424106.15","44615.008","Class1","675","1.525","5652556.02","28178.520","Class1","675","1.515","14326856.4","85844.523","Class1","675","1.525","10691678.1","57788.234","Class1","675","1.525","12186788.5","68501.086","Class1","675","1.535","14290064.6","74946.180",
"Cyclohexane, 1-ethyl-1,3-dimethyl-, trans-","Class1","675","1.49","4041583.85","13866.871","Class1","680","1.52","6999559.24","20378.824","Class1","675","1.48","7446484.46","24660.385","Class1","675","1.495","5767743.69","16055.025","Class1","675","1.485","7110630.14","22563.502","Class1","675","1.495","7944351.91","23455.045",
"3-Heptanol, 2,3-dimethyl-","Class1","675","1.705","1834041.92","9708.869","Class1","680","1.725","4323010.77","13255.694","Class1","675","1.705","4304716.64","20796.602","Class1","675","1.71","4430245.90","19090.975","Class1","675","1.71","2327842.35","10578.890","Class1","675","1.71","1173963.52","5316.187",
"1,1,3,3,5-Pentamethylcyclohexane","Class1","680","1.555","3092611.47","20023.434","Class1","685","1.61","3744956.52","15597.877","Class1","680","1.54","2432560.88","15658.732","Class1","680","1.545","5254731.55","30588.527","Class1","680","1.545","3606443.63","24539.289","Class1","680","1.55","6795613.55","44490.777",
"Benzene, 1,2,3-trimethyl-","Class1","680","2.13","6905618.54","18003.648","Class1","685","2.125","119020625","88896.820","Class1","680","2.105","11122977.8","27974.695","Class1","680","2.105","37249953.7","180067.344","Class1","680","2.11","22425317.8","56631.703","Class1","680","2.105","10131903.0","29428.381",
"o-Cymene","Class1","680","1.96","3726345.68","15858.962","Class1","680","1.94","28551300.3","81936.164","Class1","685","1.925","23635793.0","65298.758","Class1","680","1.94","36347936.7","43352.770","Class1","685","1.935","35715289.3","107130.141","Class1","680","1.94","8022281.83","38211.605",
"2-Hexenal, 2-ethyl-","Class1","685","2.07","897073.960","2242.959","Class1","690","2.05","4513549.26","9656.097","Class1","685","2.04","704710.916","2076.336","Class1","685","2.05","7684849.85","10445.865","Class1","685","2.045","1299249.75","3144.247","Class1","685","2.065","223473.152","685.334",
"Bicyclo[4.2.0]octa-1,3,5-triene, 7-methyl-","Class1","685","2.24","182733.369","485.099","Class1","690","2.2","1224305.82","4256.344","Class1","685","2.205","377046.592","1140.663","Class1","690","2.2","536924.685","1027.504","Class1","685","2.205","550701.888","1646.210","Class1","685","2.235","430207.576","1000.206",
"D-Limonene","Class1","690","1.765","9808167.31","10214.945","Class1","695","1.785","36537641.4","15471.025","Class1","690","1.765","11160103.7","17293.914","Class1","690","1.77","10878966.9","14981.378","Class1","690","1.77","17976567.7","19921.057","Class1","690","1.77","16537093.3","18653.131",
"1-Hexanol, 2-ethyl-","Class1","690","1.815","3663454.70","2495.921","Class1","695","1.855","34111501.3","5785.951","Class1","695","1.825","85083792.8","97371.664","Class1","695","1.815","26358706.2","15478.306","Class1","690","1.825","14716517.6","7709.804","Class1","695","1.81","23066298.0","10492.721",
"Cyclohexane, 2,4-diethyl-1-methyl-","Class1","695","1.545","4239534.76","27664.299","Class1","695","1.55","7887937.05","34435.324","Class1","695","1.535","3964881.67","27196.441","Class1","695","1.56","7540688.84","40763.438","Class1","695","1.545","5969570.45","41250.430","Class1","695","1.55","16333387.2","57761.387",
"Cyclohexane, butyl-","Class1","695","1.6","348637.387","3232.260","Class1","700","1.61","3070801.00","11671.279","Class1","695","1.59","496721.793","4952.868","Class1","695","1.615","1031209.17","5395.847","Class1","695","1.6","601734.651","5871.464","Class1","695","1.605","591957.237","5622.704",
"Cyclohexane, 1,1-dimethyl-2-propyl-","Class1","705","1.63","13143900.5","12862.089","Class1","705","1.6","29247381.0","11738.560","Class1","705","1.555","28532311.7","21502.561","Class1","705","1.6","53611820.0","13866.711","Class1","705","1.585","52295359.5","17544.939","Class1","710","1.555","71907626.5","28349.668",
"Bicyclo[4.2.0]octa-1,3,5-triene, 7-methyl-","Class1","705","2.32","1993701.85","5773.131","Class1","710","2.315","44751850.9","51620.840","Class1","705","2.305","5968465.51","21642.197","Class1","705","2.33","17138457.1","47685.906","Class1","705","2.32","7355743.59","27753.447","Class1","705","2.34","4944454.82","14653.763",
"2-Butene, 1,4-dichloro-, (E)-","Class1","710","2.455","4220123.68","25659.717","Class1","715","2.44","16842413.1","58427.176","Class1","710","2.46","8309901.80","43159.508","Class1","710","2.465","13922866.0","75050.109","Class1","710","2.46","19013057.3","102990.344","Class1","710","2.475","3036647.91","15081.914",
"Z-10-Pentadecen-1-ol","Class1","710","1.74","99309.498","453.451","Class1","710","1.765","30444.036","57.327","Class1","710","1.73","199851.965","892.716","Class1","715","1.715","67707.683","243.333","Class1","715","1.685","8121.793","35.182","Class1","710","1.755","86122.501","306.019",
"1H-Indene, octahydro-5-methyl-","Class1","715","1.715","50901.521","376.362","Class1","715","1.715","855533.591","3201.137","Class1","720","1.73","39444.194","305.756","Class1","720","1.745","62528.154","432.065","Class1","715","1.715","73569.223","543.486","Class1","720","1.735","91987.817","417.412",
"Cyclohexane, 1-ethyl-1,3-dimethyl-, trans-","Class1","720","1.51","12077869.2","20403.080","Class1","725","1.5","11262299.9","22207.152","Class1","720","1.5","6833092.55","20898.816","Class1","720","1.52","12096388.3","29384.875","Class1","720","1.51","8626028.00","27042.803","Class1","720","1.515","7621059.19","31839.428",
"Indene","Class1","720","2.49","50417.439","206.453","Class1","725","2.445","10378962.5","36753.621","Class1","720","2.5","94386.736","351.785","Class1","720","2.49","349698.555","882.098","Class1","725","2.47","19737.423","90.839","Class1","720","2.5","107977.650","298.538",
"Analyte 823","Class1","730","1.04","24081.912","265.854","Class1","730","1.05","20505.587","164.671","Class1","730","1.045","18599.560","178.673","Class1","730","1.05","29974.041","295.781","Class1","730","1.05","27189.569","294.945","Class1","730","1.05","21764.479","228.892",
"Benzene, 1,3-diethyl-","Class1","730","1.98","552114.005","2301.037","Class1","735","1.965","10107853.9","32122.041","Class1","730","1.97","1075828.74","4460.005","Class1","730","1.975","3008638.66","12348.283","Class1","730","1.965","1451003.92","6259.048","Class1","735","1.955","229569.668","981.974",
"Benzene, 1-methyl-2-propyl-","Class1","735","1.935","3389722.35","6109.812","Class1","735","1.945","68918543.0","271061.438","Class1","730","1.96","5633542.74","9052.526","Class1","735","1.945","17811722.0","33813.230","Class1","735","1.97","4377881.70","12690.370","Class1","735","1.945","5581219.46","10970.232",
"Naphthalene, decahydro-, trans-","Class1","735","1.78","368559.197","3134.803","Class1","740","1.81","8097704.56","28989.496","Class1","735","1.795","1839625.62","10502.356","Class1","735","1.79","585244.665","4298.757","Class1","735","1.81","1136629.62","9429.267","Class1","735","1.79","596255.567","4843.931",
"Benzene, 1-methyl-2-propyl-","Class1","740","1.965","1720643.76","3946.955","Class1","740","1.955","61860602.7","39417.777","Class1","740","1.94","3284142.63","8925.408","Class1","740","1.98","5722186.83","11367.608","Class1","740","2.015","3205291.96","8714.797","Class1","740","1.975","2500881.04","6336.961",
"Cyclohexane, 1,2-diethyl-3-methyl-","Class1","740","1.605","936716.443","5734.677","Class1","745","1.6","4468147.10","9025.207","Class1","740","1.55","2768530.37","11332.532","Class1","735","1.555","1230475.30","6940.216","Class1","740","1.635","5317033.67","10026.171","Class1","745","1.575","8824587.59","27615.635",
"Benzene, butyl-","Class1","745","1.945","982814.738","3491.819","Class1","745","1.965","9033165.00","17937.066","Class1","740","1.955","1910187.94","7330.891","Class1","745","1.94","2925463.45","10376.247","Class1","745","1.98","2343504.22","5702.234","Class1","745","1.94","3039998.10","9833.453",
"Benzene, 2-ethyl-1,4-dimethyl-","Class1","745","1.97","2493215.09","5363.500","Class1","750","1.94","46061705.0","102944.250","Class1","745","1.935","2853696.01","10205.142","Class1","750","1.92","16100624.1","49875.809","Class1","745","2","6253889.29","21070.689","Class1","750","1.925","2726505.58","7133.546",
"3-Decene, 2,2-dimethyl-, (E)-","Class1","750","1.445","435448.743","1484.092","Class1","750","1.45","430700.045","3289.272","Class1","745","1.455","752985.822","2342.910","Class1","750","1.465","546333.887","1987.502","Class1","745","1.51","1084632.01","2871.895","Class1","750","1.49","3087974.25","2297.204",
"Ethanone, 1-(3,4-dihydro-6-methyl-2H-pyran-2-yl)-","Class1","750","2.06","204168.499","580.341","Class1","750","2.04","1194643.98","2068.041","Class1","745","2.05","174107.757","426.078","Class1","750","2.025","175504.761","380.060","Class1","745","2.105","560092.860","843.489","Class1","750","2.04","312618.759","539.077",
"Octane, 1-chloro-","Class1","750","1.705","942213.569","2019.941","Class1","750","1.695","2398894.07","3190.597","Class1","750","1.695","552049.681","1411.902","Class1","750","1.68","2195412.13","4575.852","Class1","750","1.72","2061442.41","4753.068","Class1","750","1.685","852664.218","1816.869",
"Cyclohexane, 3-ethyl-5-methyl-1-propyl-","Class1","760","1.53","6459869.24","17990.072","Class1","760","1.595","4010677.92","14521.696","Class1","755","1.52","5965609.16","30834.518","Class1","760","1.58","6131905.22","17394.658","Class1","755","1.54","9981570.64","16868.758","Class1","760","1.51","8322054.13","20929.824",
"Benzene","Class1","755","0.915","71756.432","289.385","Class1","760","0.915","1110720.80","3085.109","Class1","760","0.915","217666.545","920.109","Class1","760","0.915","238283.105","991.526","Class1","760","0.925","175781.606","803.219","Class1","760","0.915","66457.929","309.118",
"1,3,5-Trioxane","Class1","755","0.975","221504.914","1049.038","Class1","760","0.975","4571511.95","11062.257","Class1","760","0.975","87253.938","462.516","Class1","760","0.975","2312994.31","7970.830","Class1","765","0.975","929887.501","3686.058","Class1","760","0.975","107023.637","739.353",
"3,5-Heptadien-2-one, 6-methyl-, (E)-","Class1","760","2.17","941830.614","2482.224","Class1","765","2.15","18967057.4","30872.162","Class1","760","2.165","2035697.49","3045.910","Class1","760","2.19","10848669.5","19722.674","Class1","760","2.175","4394623.47","9654.788","Class1","760","2.185","544503.914","1208.640",
"Acetophenone","Class1","760","2.77","3359327.41","2636.150","Class1","765","2.745","93702123.0","56930.715","Class1","760","2.785","3177908.19","3206.930","Class1","765","2.74","14616807.7","6756.938","Class1","760","2.8","8993900.60","5762.871","Class1","760","2.815","3113572.01","1708.857",
"Benzaldehyde, 4-methyl-","Class1","760","2.675","2775035.49","3810.166","Class1","770","2.565","8186248.48","8367.664","Class1","760","2.68","4893649.02","8565.729","Class1","765","2.645","5821282.05","6451.301","Class1","760","2.7","7285178.87","10837.535","Class1","760","2.705","2178534.46","3136.666",
"Benzene, 1-methyl-2-propyl-","Class1","765","1.985","2321692.91","2967.011","Class1","765","2","36433248.1","177270.469","Class1","760","2.01","2395388.86","6583.306","Class1","765","1.995","6446138.97","10593.850","Class1","760","2.025","3809436.03","7461.814","Class1","765","1.995","2244290.34","3086.491",
"Cyclopentane, 1,1,3-trimethyl-3-(2-methyl-2-propenyl)-","Class1","765","1.565","1888425.21","7746.984","Class1","770","1.54","4296857.82","8379.847","Class1","765","1.555","2852429.90","6526.467","Class1","765","1.575","5147635.32","9112.789","Class1","765","1.57","2979642.02","12788.337","Class1","765","1.57","4050215.01","17516.080",
"1-Octanol","Class1","770","1.81","298772.293","533.580","Class1","775","1.805","2493463.66","1901.204","Class1","770","1.825","293883.618","647.655","Class1","770","1.805","523230.607","742.739","Class1","770","1.845","458002.658","987.008","Class1","770","1.85","345193.516","761.870",
"Toluene","Class1","770","0.995","233533.826","513.817","Class1","775","0.995","5621576.52","10214.305","Class1","775","0.995","382338.771","1043.115","Class1","775","0.995","1331173.25","2223.234","Class1","775","1.01","1241763.07","2540.897","Class1","775","0.995","391269.546","1107.826",
"Analyte 903","Class1","775","1.575","327350.307","2410.448","Class1","780","1.6","2232509.29","1493.560","Class1","775","1.565","471123.474","3074.898","Class1","775","1.57","763557.735","3246.172","Class1","775","1.585","614859.677","4575.397","Class1","775","1.575","1412581.29","6320.800",
"2-Octene","Class1","775","0.92","173381.517","386.104","Class1","780","0.915","286005.133","551.934","Class1","780","0.92","228435.137","690.029","Class1","780","0.92","388764.966","486.539","Class1","780","0.93","550356.595","825.748","Class1","780","0.925","555630.135","663.927",
"3-Decene, 2,2-dimethyl-, (E)-","Class1","785","1.49","1776029.23","10119.658","Class1","785","1.515","1952196.32","11383.021","Class1","780","1.49","2007818.31","13894.562","Class1","785","1.505","3033126.07","18489.947","Class1","780","1.515","2848122.43","12685.480","Class1","785","1.49","2057760.85","17772.441",
"Benzene, 1-ethyl-2,4-dimethyl-","Class1","785","1.99","4513574.92","10503.857","Class1","785","2.005","61139311.7","106611.648","Class1","780","2.005","3822731.19","12190.727","Class1","785","2","17047383.3","45868.641","Class1","780","2.02","6547951.86","14755.509","Class1","785","1.99","3440299.06","8016.653",
"Tetrachloroethylene","Class1","780","1.025","3903.637","42.333","Class1","785","1.025","97798.170","815.260","Class1","785","1.03","3117.283","58.980","Class1","785","1.03","7170.853","78.342","Class1","790","1.03","7991.786","136.838","Class1","785","1.03","3217.225","60.761",
"2,3-Dimethyl-3-heptene, (Z)-","Class1","785","0.945","102536.919","454.890","Class1","790","0.945","96408.607","202.724","Class1","790","0.95","105286.093","416.813","Class1","790","0.94","121148.391","357.407","Class1","790","0.945","204106.783","632.519","Class1","790","0.945","302588.104","640.537",
"Benzaldehyde, 2-methyl-","Class1","790","2.605","4874939.01","7188.319","Class1","790","2.615","3537320.45","5031.263","Class1","785","2.645","6186254.83","8457.859","Class1","790","2.605","11554732.8","20978.012","Class1","790","2.62","12525049.6","19698.795","Class1","790","2.65","1779422.19","2111.321",
"Adamantane","Class1","790","2","123629.251","868.604","Class1","790","2.015","1352012.87","4320.856","Class1","790","1.995","151860.876","879.679","Class1","790","2","211139.716","1414.021","Class1","790","2.005","194290.815","1417.543","Class1","790","1.995","230986.861","1665.552",
"Benzene, 1-methyl-4-(1-methylethenyl)-","Class1","790","2.095","1062412.09","6822.365","Class1","790","2.14","5523069.10","14669.099","Class1","790","2.1","1324341.48","7764.263","Class1","790","2.11","3012307.64","10528.729","Class1","790","2.1","2214322.44","15198.139","Class1","790","2.095","2180614.29","14396.246",
"3-Nonene","Class1","790","0.96","1459660.53","2527.535","Class1","795","0.955","1237877.90","1165.458","Class1","795","0.96","1402176.52","2475.565","Class1","795","0.96","1599067.34","2074.769","Class1","795","0.96","1972945.11","3280.105","Class1","795","0.96","2583812.40","4265.207",
"2-Decene, 2,4-dimethyl-","Class1","795","1.515","10925703.3","23537.371","Class1","795","1.52","17650189.5","16409.322","Class1","795","1.505","6023650.23","10640.300","Class1","795","1.52","16017816.3","27453.346","Class1","795","1.505","10623886.9","21690.119","Class1","795","1.515","14065241.8","28747.377",
"Benzene, 1-ethyl-2,4-dimethyl-","Class1","795","2.015","3394226.73","14173.012","Class1","795","2.02","54223129.9","91427.852","Class1","795","2.01","3036890.46","9538.501","Class1","795","2.02","13310831.8","54850.480","Class1","795","2.015","4441720.15","19846.834","Class1","795","2.015","2846699.12","13002.664",
"(E)-1-Phenyl-1-butene","Class1","795","2.195","502182.129","1816.437","Class1","800","2.19","20516447.2","53966.012","Class1","795","2.2","1139753.59","3838.679","Class1","800","2.195","3676875.25","11565.887","Class1","800","2.18","1889892.75","5467.436","Class1","800","2.18","1656263.37","4699.394",
"Cyclohexene, 1-methyl-4-(1-methylethylidene)-","Class1","800","1.87","39894.386","334.346","Class1","805","1.835","119610.708","792.885","Class1","800","1.845","32308.298","257.713","Class1","800","1.87","50006.647","391.281","Class1","800","1.855","74404.389","638.313","Class1","800","1.855","70147.550","636.790",
"4-Nonene","Class1","800","0.985","126083.866","361.264","Class1","805","0.985","120117.506","170.700","Class1","800","0.975","270433.221","853.447","Class1","800","0.97","387121.434","836.588","Class1","805","0.995","347198.943","981.380","Class1","800","0.975","527462.738","1474.655",
"o-Xylene","Class1","800","1.135","1830983.89","2021.761","Class1","805","1.135","3338083.74","5464.112","Class1","805","1.13","7838994.29","3514.789","Class1","805","1.135","1270865.76","1518.561","Class1","805","1.15","2239431.45","4942.016","Class1","805","1.135","579575.287","1043.179",
"Benzene, 1-methyl-4-(1-methylethenyl)-","Class1","805","2.07","3081115.97","14090.761","Class1","805","2.08","2971168.28","15960.938","Class1","800","2.095","2756468.47","16216.571","Class1","805","2.075","3753711.07","21336.027","Class1","805","2.11","3997791.06","26074.617","Class1","805","2.075","6876063.07","23571.512",
"2,4-Decadienal","Class1","805","1.775","1186513.63","2313.767","Class1","805","1.78","982562.402","1153.762","Class1","805","1.78","626534.408","1033.930","Class1","805","1.775","947945.496","1536.344","Class1","805","1.805","1614139.50","3179.004","Class1","805","1.775","725663.992","1367.916",
"2-Nonanone","Class1","805","1.87","933084.776","1697.584","Class1","810","1.86","4364680.92","6679.703","Class1","805","1.885","1102251.87","1598.131","Class1","805","1.88","1803908.74","2186.326","Class1","805","1.915","615750.941","862.724","Class1","805","1.88","441932.535","817.434",
"2-tert-Butyltoluene","Class1","805","1.905","739235.261","4617.834","Class1","810","1.905","984700.352","2326.536","Class1","805","1.905","924808.783","5257.657","Class1","805","1.91","1120834.05","5936.876","Class1","805","1.94","1371467.19","8961.733","Class1","805","1.905","1378305.68","8642.790",
"Cyclohexane, 1,5-diisopropyl-2,3-dimethyl-","Class1","810","1.52","3053215.07","27347.971","Class1","810","1.52","4093364.12","26770.729","Class1","805","1.505","7033401.94","35330.387","Class1","810","1.53","12255280.2","44378.477","Class1","805","1.53","5937812.89","30570.139","Class1","805","1.51","9956590.36","39649.406",
"Endo-tricyclo[5.2.1.0(2.6)]decane","Class1","810","1.965","62767.990","383.479","Class1","810","1.97","487638.921","2848.060","Class1","805","1.975","72297.429","378.408","Class1","810","1.975","155821.844","1072.286","Class1","810","1.985","122721.609","656.224","Class1","810","1.96","102332.366","603.250",
"Undecane, 3,7-dimethyl-","Class1","810","1.44","1551769.65","6683.016","Class1","810","1.375","649148.305","441.463","Class1","810","1.43","2628410.05","4878.411","Class1","810","1.5","4373209.69","8206.115","Class1","810","1.24","26837.201","167.624","Class1","815","1.345","431263.235","708.254",
"Analyte 950","Class1","810","1.205","70645.096","306.680","Class1","815","1.2","246209.268","949.834","Class1","815","1.2","97553.492","620.230","Class1","815","1.205","56395.619","333.782","Class1","815","1.215","76832.705","511.059","Class1","815","1.205","27845.460","192.399",
"Cyclohexane, 1,5-diisopropyl-2,3-dimethyl-","Class1","815","1.55","22960325.3","33730.078","Class1","815","1.545","29383800.7","20861.070","Class1","815","1.525","22468282.3","35435.074","Class1","815","1.55","44913038.6","33510.336","Class1","815","1.54","52103172.9","34663.461","Class1","815","1.54","32142159.1","40120.746",
"2-Methyladamantane","Class1","820","1.875","786595.176","4569.386","Class1","825","1.86","5259904.92","9664.040","Class1","820","1.865","821986.307","4594.195","Class1","820","1.885","1155781.46","6097.573","Class1","820","1.875","1124482.62","6652.875","Class1","820","1.87","1404520.14","8309.933",
"cis-Decalin, 2-syn-methyl-","Class1","820","1.7","103248.110","393.141","Class1","825","1.69","892527.402","2395.594","Class1","830","1.695","89734.303","429.850","Class1","820","1.725","198610.819","674.517","Class1","820","1.71","143783.428","533.893","Class1","830","1.7","105199.701","848.851",
"2-Propenal, 3-phenyl-","Class1","825","2.45","368510.848","898.017","Class1","820","2.46","371505.820","1874.607","Class1","825","2.465","128778.338","529.819","Class1","825","2.465","284693.668","502.962","Class1","825","2.465","355997.020","841.460","Class1","825","2.47","151337.573","695.994",
"Nonanal","Class1","825","1.865","30352061.3","18720.605","Class1","830","1.87","45917098.1","20122.523","Class1","825","1.86","24381893.3","24481.725","Class1","830","1.855","32328704.4","12302.328","Class1","830","1.85","4748401.78","2620.367","Class1","825","1.865","5155018.00","4587.009",
"Benzene, 1-ethyl-2,4-dimethyl-","Class1","830","2.12","864108.335","2879.624","Class1","835","2.1","18806413.8","48350.750","Class1","830","2.12","765550.435","3003.017","Class1","830","2.125","2912162.02","7814.381","Class1","830","2.12","1082569.12","3652.977","Class1","830","2.125","601201.172","2344.454",
"Benzofuran, 2-methyl-","Class1","835","2.46","527845.018","1782.551","Class1","835","2.445","2941417.64","7947.940","Class1","835","2.495","599494.057","1556.793","Class1","835","2.455","1903358.31","6576.307","Class1","835","2.465","1521066.11","5744.043","Class1","835","2.485","879034.049","2478.282",
"cis-Decalin, 2-syn-methyl-","Class1","835","1.7","576931.029","2967.982","Class1","840","1.695","4436712.27","21580.990","Class1","835","1.7","376338.499","3293.679","Class1","835","1.705","1240741.09","4512.995","Class1","835","1.7","744462.340","3982.246","Class1","835","1.705","739153.135","5210.152",
"Octane, 2,2,6-trimethyl-","Class1","840","1.035","60152.528","293.808","Class1","845","1.03","46351.364","164.963","Class1","845","1.03","78957.922","342.136","Class1","845","1.035","88064.352","319.418","Class1","845","1.035","108800.818","422.115","Class1","845","1.035","128689.542","535.967",
"Cyclohexane, 1,2-diethyl-3-methyl-","Class1","845","1.5","11462421.0","41053.895","Class1","845","1.495","4701579.00","18822.207","Class1","845","1.49","11038958.9","59758.148","Class1","845","1.495","9435420.99","42269.613","Class1","845","1.495","8456068.47","27922.326","Class1","845","1.49","12566102.1","48186.375",
"Adamantane, 1,3-dimethyl-","Class1","845","1.755","506725.519","2747.408","Class1","845","1.755","2608130.93","12317.390","Class1","845","1.75","577810.327","1707.632","Class1","845","1.755","917702.951","4548.668","Class1","845","1.745","755833.312","3941.851","Class1","845","1.75","949277.173","4853.731",
"Benzene, 1,2,3,4-tetramethyl-","Class1","850","2.015","1757095.53","4324.910","Class1","850","2.02","26801348.1","72507.539","Class1","845","2.045","1165951.96","4744.199","Class1","850","2.02","5275768.44","15392.352","Class1","850","2.015","1722042.75","4350.603","Class1","845","2.045","1059110.08","2667.449",
"Analyte 1023","Class1","850","1.605","87658.324","278.663","Class1","850","1.6","145238.567","667.884","Class1","850","1.605","68971.854","214.558","Class1","850","1.59","61156.873","249.875","Class1","850","1.595","71766.066","271.811","Class1","850","1.575","151459.567","433.659",
"Octane, 2,5,6-trimethyl-","Class1","850","1.05","39015.648","143.909","Class1","855","1.05","33686.928","83.294","Class1","855","1.045","51920.660","167.860","Class1","855","1.05","66047.634","189.482","Class1","855","1.045","78945.286","256.948","Class1","855","1.05","71802.607","291.929",
"Toluene","Class1","850","0.96","27534.747","54.580","Class1","855","0.955","1725114.97","479.560","Class1","855","0.955","236354.105","92.036","Class1","855","0.955","681010.753","265.095","Class1","860","0.955","17342.903","122.489","Class1","855","0.96","345597.254","150.013",
"Benzene, 1,2,4,5-tetramethyl-","Class1","855","2.04","2786040.98","10928.413","Class1","855","2.05","39082451.4","85111.383","Class1","855","2.045","2413350.17","8295.696","Class1","855","2.045","9080198.67","34808.563","Class1","855","2.04","2775700.84","11956.582","Class1","855","2.045","1641589.15","7098.014",
"Cyclohexane, 1,2,4,5-tetraethyl-, (1à,2à,4à,5à)-","Class1","860","1.44","2029517.99","19083.488","Class1","860","1.435","990057.977","9907.248","Class1","860","1.42","2176263.22","26047.117","Class1","860","1.44","3199647.15","23637.621","Class1","860","1.415","1343820.11","12073.964","Class1","860","1.43","2337210.49","24313.621",
"Butane, 1,2,3,4-tetrachloro-","Class1","860","2.355","32122.272","157.549","Class1","860","2.34","272627.559","456.825","Class1","860","2.365","47172.864","117.148","Class1","860","2.355","83461.900","192.257","Class1","860","2.35","123547.682","330.420","Class1","860","2.37","12425.338","31.762",
"Benzene, 2-ethenyl-1,4-dimethyl-","Class1","865","2.12","79090.083","152.021","Class1","865","2.125","2039745.06","3462.109","Class1","860","2.17","138360.055","183.097","Class1","865","2.13","161222.670","260.719","Class1","865","2.135","166320.284","263.963","Class1","865","2.12","234828.972","285.509",
"Oxalic acid, allyl hexyl ester","Class1","860","1.4","107365735","41092.348","Class1","865","1.38","27358261.9","25827.354","Class1","865","1.355","26471532.0","50806.102","Class1","865","1.165","766755.978","1369.785","Class1","865","1.36","17708570.9","30420.008","Class1","870","1.385","68719737.8","44447.508",
"1-Methyldecahydronaphthalene","Class1","865","1.72","337527.224","2907.453","Class1","865","1.73","3329710.28","17310.215","Class1","865","1.72","364515.367","2652.368","Class1","865","1.725","672739.009","5182.277","Class1","865","1.72","510658.691","4334.662","Class1","865","1.72","559432.286","4845.047",
"48094","Class1","865","1.085","339116.771","294.035","Class1","870","1.08","478976.015","141.632","Class1","865","1.085","749809.331","1065.211","Class1","870","1.08","1083255.25","192.899","Class1","870","1.08","1989567.80","1214.757","Class1","865","1.08","2072924.07","3068.788",
"1-Methylpentyl cyclopropane","Class1","870","1.8","1107223.15","888.291","Class1","880","1.745","1445890.86","1008.103","Class1","875","1.765","76522.056","101.643","Class1","875","1.76","694560.753","736.003","Class1","875","1.775","991327.697","825.429","Class1","875","1.755","4141361.59","4409.658",
"1,3,5,7-Tetroxane","Class1","875","3.01","1255982.64","2568.093","Class1","875","3.075","104006241","86143.883","Class1","875","3.02","1838929.26","2829.084","Class1","875","3.005","28964516.3","47956.934","Class1","875","3.035","1772405.56","2745.470","Class1","875","3.05","419740.003","793.962",
"3,4-Dimethylcumene","Class1","875","1.895","34937.270","187.877","Class1","875","1.9","785745.804","3636.608","Class1","880","1.91","53957.989","313.224","Class1","875","1.9","71841.521","399.492","Class1","880","1.92","68996.737","461.037","Class1","875","1.895","30155.498","195.711",
"cis-Decalin, 2-syn-methyl-","Class1","880","1.71","115341.062","1012.906","Class1","880","1.715","841799.969","5484.796","Class1","875","1.725","166055.804","673.035","Class1","880","1.715","279519.719","1846.156","Class1","880","1.715","214539.876","1641.733","Class1","880","1.71","180885.134","1594.216",
"Butane, 2,2'-[methylenebis(oxy)]bis[2-methyl-","Class1","880","1.445","2269325.87","11278.710","Class1","880","1.45","2187244.83","5269.196","Class1","880","1.445","2103770.41","9042.174","Class1","880","1.45","5508356.31","20602.203","Class1","880","1.445","471328.933","1977.822","Class1","880","1.445","1218896.49","5102.627",
"1-Isopropyl-1,4,5-trimethylcyclohexane","Class1","880","1.5","7340111.09","15220.749","Class1","880","1.5","12096156.6","11602.729","Class1","880","1.495","7718118.04","14953.418","Class1","880","1.505","14104900.5","21033.652","Class1","880","1.5","6159275.19","10697.895","Class1","880","1.51","3063009.08","18673.303",
"Tridecane","Class1","880","1.345","943359.425","6607.497","Class1","885","1.33","982281.701","6383.415","Class1","880","1.34","1188368.20","11483.243","Class1","880","1.33","1110148.60","8671.782","Class1","880","1.345","690023.396","4937.467","Class1","880","1.155","42419.719","75.165",
"Benzene, 1-methyl-4-(1-methylpropyl)-","Class1","885","1.87","369244.433","957.432","Class1","885","1.87","9393134.97","33001.465","Class1","880","1.9","241324.317","701.878","Class1","885","1.875","891243.637","2544.841","Class1","885","1.875","239244.399","787.946","Class1","880","1.9","245410.617","609.773",
